CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;AC01_01;AC03_01;AC04_01;B004_01;B004_02;B004_03;B004_04;B004_05;B004_06;B004_07;B004_08;B004_09;B004_10;B004_11;B004_12;B004_13;B004_14;B004_15;B004_16;B004_17;B004_18;B006_01;B007;R002;R002_01;R002_03;R003;R003_01;R003_03;R004;R004_01;R004_03;R010;R010_01;R010_03;R005;R005_01;R005_03;R006;R006_01;R006_03;R007;R007_03;R008;R008_01;R009;R009_01;R009_03;R011;R011_01;R011_03;R012;R012_01;R012_03;R013;R013_01;R013_03;R015;R015_01;R015_03;R016;R016_01;R016_03;R017;R017_03;R018;R018_01;R018_03;R019;R019_01;R019_03;R021;R021_01;R021_03;R022;R022_01;R022_03;R024;R024_03;T002;T002_01;T002_03;T003;T003_01;T003_03;T004;T004_01;T004_03;T005;T005_01;T005_03;T006;T006_01;T006_03;T007;T007_01;T007_03;T009;T009_01;T009_03;T022;T022_01;T022_03;T023;T023_01;T023_03;T021;T021_01;T011;T011_01;T011_03;T012;T012_01;T012_03;T013;T013_01;T014;T014_01;T015;T015_01;T017;T017_03;T018;T018_01;T018_03;T019;T019_03;T025;T025_01;T025_03;T049;T049_01;T026;T026_01;T026_03;T028;T028_01;T028_03;T029;T029_01;T029_03;T031;T031_03;T032;T032_01;T032_03;T033;T033_01;T033_03;T037;T037_01;T038;T038_03;T039;T039_01;T040;T040_01;T040_03;T041;T041_01;T042;T042_03;T043;T043_03;T044;T045;T045_03;T046;T046_03;T050;T050_03;T047;TIME001;TIME002;TIME003;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
124;;;affective_grid;interview;2024-03-26 15:56:27;;;;5;2;2;1;1;1;1;3;2;1;4;1;1;1;1;1;1;5;Defense Industry, Academia;2;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;1;;1;;;1;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;1;;1;;1;;1;55;36;60;151;;2024-03-26 15:58:58;1;0;3;3;43;7;2,93
130;;;affective_grid;interview;2024-03-27 09:52:05;;;;5;3;3;4;4;4;3;3;2;4;4;4;4;4;2;2;4;2;Defense;3;1;;;1;;;1;;;3;;Part of CERT/CSIRT;2;;;3;;Part of CERT/CSIRT;1;;1;;1;;;1;;;3;;;3;;Part of CERT/CSIRT;3;;;1;;;3;;3;;Part of CERT/CSIRT;3;;Part of CERT/CSIRT;3;;;3;;;1;;1;;;3;;;3;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;1;;1;;;2;;1;;;2;;;2;;;2;;2;;;2;;;1;;2;;1;;1;;;1;;1;;1;;1;2;;1;;1;;1;45159;540;159;853;;2024-03-27 22:36:23;1;0;3;3;35;9;0,71
132;;;affective_grid;interview;2024-03-27 10:42:53;;;;4;3;4;3;5;3;4;4;2;5;4;4;4;5;4;4;4;3;Defense;5;1;;;1;;;3;;Should be outsourced for smaller companies;3;;Should be outsourced for smaller companies;3;;Should be outsourced for smaller companies;3;;Should be outsourced for smaller companies;1;;1;;1;;;1;;;3;;Should be outsourced for smaller companies;1;;;1;;;1;;;1;;1;;;1;;;1;;;3;;Should be outsourced for smaller companies;1;;1;;;1;;;1;;;1;;;1;;;1;May be outdated;;1;;;1;;;1;;;1;;1;Alibi;;1;;;1;;1;Anomalie;1;;1;;1;;;1;;1;;;1;;1;Hopefulky;;3;;ISO topic;3;;ISO topic;3;ISO topic;3;;ISO topic;1;Ob y as user;;1;;1;;1;;1;;;1;;1;;3;ISO topic;1;1;;3;ISO topic;3;ISO topic;1;35658;273;409;836;;2024-03-27 20:48:33;1;0;3;3;30;4;0,54
134;;;affective_grid;interview;2024-03-28 13:02:00;;;;;;;;;;;;;;;5;;;;;;5;Consulting;3;2;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;755;;808;;2024-03-28 13:15:28;0;0;2;2;81;80;1,63
139;;;affective_grid;interview;2024-03-28 22:39:21;;;;5;1;2;4;5;5;2;3;2;2;4;4;2;4;2;3;3;2;Defense;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;154;98;;252;;2024-03-28 22:43:34;0;0;2;2;52;50;1,87
159;;;affective_grid;interview;2024-04-03 00:07:43;;The SOC is often just supplementary user with read access, but the systems are managed by other teams.;The roles above are partially more theory than practice. I've never seen a real three tier distinction and it doesn't appears practicable to me. Even the tier 1 analyst is somewhat problematic nowadays because this tier often lacks the required experience to handle complex events (e.g. from an EDR) in a reliable way. In reality, there are two tiers that work together on events and the second tier consists of the specialized teams. Furthermore, different roles often fall together in the same persons. E.g. Threat hunters are often also doing detection engineering because both tasks have many intersections.;5;2;2;5;4;3;5;5;1;5;2;4;1;2;1;2;2;4;;4;1;"""if needed"" should also include ""if unsure"" due to usual inexperienced staff at this tier";;3;;usually this is already handled by an incident responder. In the organizations I worked the last decade there were only tier 1 analysts and a second tier was built from specialized teams/roles described below.;3;;"Pentesting, vulnerability assessments etc. are nowadays separate roles that can't be subsumed into a ""tier 3"".";1;;;1;also supports threat intel;;3;;The forensic specialist is usually restricted to disk forensics. The importance of classical forensic analysis has decreased a lot though modern tools like EDR and the need to respond fast due to ransomware actors.;1;;1;;3;;quite uncommon as dedicated role. Usually, this is done by the consumers, detection engineers and threat hunters.;1;;;1;;;3;;Usually a less technical role that interfaces between incident roles (threat hunters, ti and malware analysts), supporting teams (e.g. server operations) and management.;1;;;1;;;2;;1;there's usualoly a distinction between incidents and security incidents. This is the first role in my view.;;1;;;3;;it's usually more a product/project-related role while the security teams architect their infrastructure themselves.;3;;usually located outside of the SOC.;1;;1;the common format and normalization is some sales argument or dream that never got true. It's more efficient to normalize at detection/search level. Nowadays the SIEM got also more importance as data analysis platform while detection is often done in dedicated security products (EDR, NIDS etc.);;1;;;1;;;3;;This is not a dedicated tool. The threat hunter piggybacks on SIEM and EDR.;1;I would see this as the log processing pipeline like Cribl or Tenzir;;3;;It has more the role to detect attackers;3;;It more a marketing synonym for the SIEM and the definition is quite blurry across vendors;3;;this is usually operated and managed by network teams;3;;this is usually operated and managed by network teams;1;;1;;;3;;this is the outdated term for EDR.;1;;1;;1;;3;Usually managed by the communications teams;3;;Usually located somewhere in network operations.;2;;1;;;1;but as said before, it's not too relevant anymore in modern incident response;1;in addition it's the case management system and collaboration space;;1;;;2;;;3;this is usually located somewhere in the IAM area;3;;this is usually located somewhere in the IAM area;1;but it's more a global IT tool than one dedicated to the SOC;;1;but it's not operated by a SOC;3;this is IT operations.;1;;3;;this is IT operations.;1;but often located in the SOAR or ticketing platfoirm;1;;1;;1;1;;2;;1;;1;245;1850;1036;1550;;2024-04-03 00:59:54;1;0;3;3;19;3;0,34
166;;;affective_grid;interview;2024-04-16 09:06:02;;it is a big mixture and not SOC Tools according to the SOC definition;mix of tier model and other models.;2;3;3;3;2;1;4;2;1;2;2;3;2;3;1;2;1;4;Public Defence Sector;4;1;Tier model in SOC is deprecated and results in additional overhead;;1;old world and deprecated;;3;;old world and deprecated and it was only part of the role descritpion according to the Sans BLUE book;1;but is only part of the job. and;;1;;;3;;soc is changing from single point analysis. also not find the root cause, but the special evidence. and it is more a legal role nowadays;1;;1;;3;;work with data is part of the SOC analyst and the intel analyst. And working in a SIEM is not any longer part of a single platform strategy in changing times.;3;;the and is not correct. proactivley for not known threats. reagualry search is not part of the definition.;3;;identification of vulnerabilities is not part of read teaming. testing to abuse them, yes;3;;too much overlap with fornsic analyst and soc analyst;1;but not a soc role;;3;;strategic directuion is given by CISO, teh tactical and operatuinal direction;3;data protection is part of the company data protection officer accoring to GDPR and part of the company and not SOC;3;;all is wrong, in according to the crisis and the incident response plan.;3;;these are two roles, risk is seperated from cybersecurity only.;1;;;1;and so much more;;2;;3;;it is part of the data, which are parsable. mainly endpoints. Old structure;3;;take out correlation pls, correlation and data work is done in one place. one platform stategy;3;;misconfigurations are missing. this is not a vulnerability;1;;;3;;not a soc tool;3;;honeypot is an old deception tool, should never be implemented in a security landscape.;3;;XDR is vendor specfic. Endpoint tools are not designed for endpoints AND ... . Also it is not only for behavior;3;;it is not used by a SOC, but the the company for the description. preventing is task of another infrastructure group.;3;;not a SOC tool, not only private network. and it is not only the access;1;yes, but not behavior. it is mix of term definitions;1;not a SOC tool, logs are is not the tool itself;;2;;;1;;1;the sources are not correct taken;1;same as before with XDR;1;;1;not a SOC tool;;2;;1;;;1;;3;;not the collection is the job of the SOAR;3;;bug bounty is not internal only. the term is not correct;3;;not a SOC tool;3;not for a SOC;3;;seperation of duties, not a SOC tool;3;;a tool for everyone, not a SOC tool;1;;3;not a SOC tool;1;;3;;not a SOC tool;1;is redundant to ticket system;3;not a SOC tool;3;not for SOC;1;3;not a SOC tool and not GDPR;3;not a SOC tool;3;not a SOC tool;2;38994;738;1045;1937;;2024-04-16 20:25:39;1;0;3;3;10;1;0,21
219;;;affective_grid;interview;2024-04-16 09:29:07;"I am not sure I understand what is meant with ""industry you obtained your IT security experience"".";;I found tis survey annoying to fill. The text boxes are very small. No answer should be the default as most people won't be familiarize with all roles.;1;5;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;3;security;3;2;;;2;;;2;;;2;;;3;;As a malware analyst I analyse malware capabilities to provide detection indicators, but also for many other reason. For example, if I analyse a ransomware sample, detection is not the most important part (the ransomware note is an obvious indicator), but what files are targeted, how the encryption works, and the files can be decrypted.;2;;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;;2;;;2;;;2;;;2;;2;;;2;;;3;;pen testing tools look for any vulnerability;2;;;2;;;2;;;2;;;3;;I would use the word trusted network and not private, or even just network.;2;;;2;;3;;It should quarantine malware even if the system is not infected (the malware hasn't run but is present);2;;;2;;2;;2;;2;;2;;;2;;3;;execution of malware in a secure environment is a malware sanbox.;2;;2;;;2;;;2;;;2;;2;;;1;I expect it to store the password in a secure way;;2;;2;;1;;2;;;2;;2;;2;;2;2;;2;;2;;2;498;876;17855;1633;;2024-04-16 14:49:37;1;0;3;3;2;0;0,21
227;;;affective_grid;interview;2024-04-16 16:55:33;;;;1;1;1;1;1;1;1;1;1;4;1;4;4;5;4;4;4;5;Government;3;1;;;1;;;1;;;1;;;1;;;2;;;1;;1;;1;;;1;;;3;;Depending if you include red team.;1;;;3;;Policy and execute need to be sperate.;1;;;3;Different expertise and type of work.;3;;Yes and now. SOC needs own capabilities but is not an excuse for organization to lift on SOC incident proces. They need their own.;1;"Specific HIGH respons is needed. Regu;ar and broad proces not.";;2;;;2;;;1;;1;;;1;;;1;;;1;;;1;;;3;;but also YES. SOC needs alerts but does not always configure.;1;Very important. Not always on config level. Alerts YES.;;1;Yes and NO is more general security.;;1;Yes and NO is more general security.;;1;Yes and NO is more general security.;1;Yes and NO is more general security.;;1;Yes and NO is more general security.;;1;Yes and NO is more general security.;1;;1;;3;;1;Yes and NO is more general security.;;2;;1;;;2;;1;;;3;;CISO;3;;CISO;3;;3;;;3;;;3;;3;;1;needed but SOC is not owner;3;;;2;;;;1;;1;2;;2;;3;;1;51;427;164;642;;2024-04-16 17:06:15;1;0;3;3;27;9;1,74
233;;;affective_grid;interview;2024-04-18 09:19:29;;;In general it is often hard to distinguish, which role is part of the SOC or of other organizational units. In many cases it depends on the organizational structure and on the size of the SOC. In practice I have never seen a SOC that has each role in place, but a subset of them.;4;3;3;4;5;5;5;4;3;3;5;4;4;5;5;5;5;5;Automotive Industry, Public Research;3;1;;;1;In many cases there is only one type of Analyst. No distinction between Tiers;;1;;;1;;;1;;;1;;;1;;1;;1;;;1;;;1;;;1;Might not be part of SOC but of CIRT;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;1;;;1;Often integrated with SIEM;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;3;Never seen in practice;1;;;1;;1;In may cases integrated with SIEM;;3;;Not really part of SOC, but might be of other organizational unit.;3;;Not really part of SOC, but might be of other organizational unit.;1;;1;;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;1;;1;;3;Not really a tool. It also includes processes, ...;1;117;370;329;816;;2024-04-18 09:33:06;1;0;3;3;36;6;0,94
237;;;affective_grid;interview;2024-04-20 07:12:30;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Defense;3;1;;;1;;;1;;;1;;;3;;"Could be part of a SOC; more likely part of a CSIRT";3;;"Could be part of a SOC; more likely part of a CSIRT";1;;1;;1;;;1;;;2;;;1;;;2;;;1;;;2;;3;;Could sit in the InfoSec, IT, CSIRT organizations;1;Could also be part of a CSIRT;;3;;Could be placed in any security team;3;;Could be placed in any security team;1;;1;;;1;;;1;Or CSIRT;;1;Or CSIRT;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;1;;1;Or CSIRT;;1;;1;;;1;Could also be used by CAIRT or ISO/SISO organization;;1;Could also be used by CAIRT or ISO/SISO organization;;2;;2;;;2;;;1;;1;;1;;1;;;1;;1;;1;;1;1;;3;Probably more used by GRC funtions;3;Probably more used by GRC funtions;1;309;608;259;1176;;2024-04-20 07:32:06;1;0;3;3;31;4;0,65
239;;;affective_grid;interview;2024-04-22 08:11:06;;;;5;2;4;3;4;3;3;4;2;5;2;3;1;1;1;3;2;2;Consulting;2;3;;its superseded;1;;;1;essential role;;1;essential role;;1;essential role;;1;essential role;;3;different aspect, could be a part of but doesn't have to be;1;essential role;1;essential role;;1;essential role;;3;;doesn't need to be part of the SOC;3;;different role and different responsibilities;2;;;1;essential role;;2;;2;;;2;;;2;;;2;;;1;;1;;;1;;;1;depends on the circumstances;;1;;;2;;;1;;;1;;;3;;different department usually;3;;different department usually;1;;1;;;1;;;1;;1;;1;;2;;2;;;2;;1;;;1;;1;;;1;;;2;;;2;;2;;;2;;;2;;2;;2;;2;;;2;;2;;3;different department;2;3;;3;;3;;1;92;166;122;380;;2024-04-22 08:17:27;1;0;3;3;19;5;1,81
240;;;affective_grid;interview;2024-04-22 08:40:59;;;;5;1;4;1;2;2;4;2;1;4;1;3;1;1;2;2;1;2;Defense;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;221;;;221;;2024-04-22 08:44:40;0;0;1;1;5;0;0,70
241;;;affective_grid;interview;2024-04-22 10:31:09;;;;2;1;1;2;1;1;5;1;1;4;1;4;5;5;5;5;4;2;Defence, Government and Manufacturing;3;1;;;1;They should also provide technical feedback and work with the Tier 1 analyst for tuning rules for continuous improvement.;;1;When they are not in a major incident they should be looking at continuous improvement and gap analysis of tools to prevent or prepare for the next incident.;;1;They should be proactive and provide timely value to the Prevent and Detect teams. They should conduct source verification of data leaks and any new trends or changes in TTPs relevant to the adversary.;;1;;;1;To include effective chain of custody and audit.;;1;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;Should support risk prioritisation and contextualise the CVE/CVSS for the organisation.;;1;;;1;;;3;SOC Security Administrator - effective account and access administration, co ordinates RBAC with vetting and user admin, ensures need to know and permissions are correct within SOC. Ensures SOC tool compliance (patching, updates, connectivity). Coordinates professional services and wider department access to SOC (read only, read/write) within dashboards.;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;1;;1;;;1;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;1;;1;;1;;1;108;495;69;672;;2024-04-22 10:42:21;1;0;3;3;39;6;1,66
242;;;affective_grid;interview;2024-04-22 10:38:00;;;;4;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;2;Defence;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5177;;;154;;2024-04-22 12:04:17;0;0;1;1;5;0;0,03
245;;;affective_grid;interview;2024-04-22 15:09:23;;;;4;2;2;3;1;1;3;3;3;1;1;1;1;1;1;1;1;4;;2;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;3;"Cybber Security Awareness Role;";1;;;1;;;1;;;1;;;1;not necessarily part of the SOC;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;1;;1;;;1;;1;;;3;;implemented as vulnerability disclosure program;1;;;1;;1;;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;1;;1;;1;;1;339;306;630;1275;;2024-04-22 15:30:38;1;0;3;3;42;8;0,58
251;;;affective_grid;interview;2024-04-23 07:04:24;;;;4;1;1;1;1;2;3;2;1;4;5;5;3;5;4;4;4;2;;4;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;1;;1;;;1;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;1;;1;;1;;1;135;147;132;414;;2024-04-23 07:11:18;1;0;3;3;44;8;1,64
256;;;affective_grid;interview;2024-04-23 09:46:57;;;;4;1;1;2;2;4;4;4;1;4;3;3;1;2;1;1;1;1;Defence;2;1;;;1;;;1;;;1;;;1;;;3;;Not a specific role, but a speciality of a person;1;;1;;3;;A specialism for smaller SOCs as part of an architecture role;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185;265;;450;;2024-04-23 09:54:28;0;0;2;2;31;6;0,92
257;;;affective_grid;interview;2024-04-23 10:32:30;;;;5;4;3;4;5;3;3;4;2;3;4;5;3;4;4;3;5;2;Telco and defense;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128;;;128;;2024-04-23 10:34:38;0;0;1;1;5;0;1,20
258;;;affective_grid;interview;2024-04-24 09:33:06;;;;4;3;3;4;5;4;3;3;2;4;4;3;1;1;1;1;1;1;DEFENSE;3;1;;;1;;;1;;;3;;;3;;;3;;;1;;1;;1;;;3;;;3;;;3;;;3;;;1;;;2;;3;;;1;;;3;;;2;;;1;;1;;;1;;;3;;;1;;;1;;;1;;;1;;;3;;;3;;;3;;1;;;1;;;1;;1;;1;;2;;1;;;1;;1;;;3;;1;;;2;;;2;;;3;;3;;;3;;;2;;2;;3;;3;;;2;;1;;1;;3;1;;1;;1;;2;119;156;16064;534;;2024-04-24 14:05:25;1;0;3;3;40;15;1,01
259;;;affective_grid;interview;2024-04-26 11:35:43;;;;4;1;4;2;2;2;2;2;1;4;2;3;2;3;3;3;1;2;Defense;2;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;1;;;1;;;1;may not need to be an internal team memember, could be contracted on an as-needed bsais;;1;;;1;;;1;;;1;;1;;;1;;;1;likely working with the network and IT operations teams;;1;;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;can also be used for network segregation;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;2;;1;;;1;;1;;;2;;;1;;;2;;1;likely not owned by the SOC, however SOC would have access;;1;;;1;;3;SOC may have access to this tool, but it would not be owned or managed by SOC;1;;1;may be part of a wider Cange Management Plaform used by IT or the business;;1;;1;;1;;1;1;;1;;1;;1;61;141;700;902;;2024-04-26 11:50:45;1;0;3;3;37;6;1,60
260;;;affective_grid;interview;2024-04-26 13:46:29;;;;5;2;2;3;2;2;3;1;1;3;1;1;1;1;1;1;1;1;Education;2;1;Often no tiers;;1;Often no tiers;;1;Often no tiers;;1;;;1;;;1;;;1;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;1;;1;;;1;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;1;;1;;1;;1;54;65;55;174;;2024-04-26 13:49:23;1;0;3;3;41;6;2,95
264;;;affective_grid;interview;2024-04-27 13:10:45;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Automobil;2;1;;;1;;;1;;;1;;;2;;;2;;;1;;1;;2;;;1;;;;;;1;;;1;;;2;;;1;;1;;;1;;;1;;;2;;;1;;2;;;1;;;1;;;2;;;1;;;1;;;2;;;1;;;1;;;1;;2;;;1;;;2;;1;;2;;1;;2;;;2;;2;;;2;;1;;;1;;;2;;;2;;2;;;1;;;1;;2;;2;;1;;;2;;1;;2;;1;1;;1;;2;;1;95;250;51;396;;2024-04-27 13:17:21;1;0;3;3;32;6;1,90
270;;;affective_grid;interview;2024-05-05 12:09:09;;;;3;1;1;1;1;1;1;4;3;1;1;1;1;1;1;1;1;1;Consulting;2;1;24/7 Provider, no Tiers;;1;24/7 Provider, no Tiers;;1;24/7 Provider, no Tiers;;1;;;1;;;1;;;1;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;1;;;1;;1;;;1;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;1;;1;;1;;1;167;58;49;274;;2024-05-05 12:13:45;1;0;3;3;41;6;2,31
