CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;B101;B105_01;B106_01;R102;R102_01;R102_03;R105;R105_03;R106;R106_01;R106_03;R107;R107_01;R108;R108_01;R108_03;R109;R109_01;R109_03;R110;R110_03;R111;R111_01;R111_03;R113;R113_01;R115;R115_01;R115_03;R116;R116_01;R116_03;R117;R117_01;R117_03;R118;R118_03;R119;R119_01;R119_03;R126;R126_01;R121;R121_01;R112;R112_01;R112_03;R122;R122_01;R122_03;R127_01;T102;T102_01;T102_03;T103;T103_01;T104;T104_03;T105;T105_03;T106;T106_03;T107;T107_01;T109;T109_03;T111;T111_01;T111_03;T112;T112_03;T113;T113_03;T116;T117;T117_03;T118;T118_01;T119;T119_03;T114;T114_03;T121;T121_03;T122;T122_03;T123;T125;T126;T126_03;T127;T127_01;T127_03;T136;T136_03;T137;T137_03;T138;T138_03;T139;T139_03;T140;T141;T141_03;T142;T142_03;T143;T143_01;T144;T145;T145_03;T146;T146_01;T146_03;T129;T130;T130_01;T132;T132_03;T133;T133_03;T134;T134_01;T134_03;T151_01;TIME001;TIME002;TIME003;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
14;;;base;interview;10/06/2024 12:05;2;Automotive IT Security Researcher;2;1;;;1;;1;;;1;;1;;;1;;;1;;1;;;1;;1;;;1;;;1;;;1;;1;;;1;;1;;1;;;1;;;;1;;;1;;1;;1;;1;;1;;1;;1;;;1;;1;;1;1;;1;;1;;1;;1;;1;;1;1;1;;1;;;1;;1;;1;;1;;1;1;;1;;1;;1;1;;1;;;1;1;;1;;1;;1;;;;74;35;62;171;;10/06/2024 12:08;1;0;3;3;50;9;2.37
18;;;base;interview;10/06/2024 13:16;2;automotive security research assistant;4;1;Assumption: (in a minimal law-complient VSOC) SOC Analyst's tasks can be take over by threat intelligence analyst.;;1;;1;Assumption: (in a minimal law-complient VSOC) Malware Analyst's tasks can be take over by threat intelligence analyst.;;1;The responsibility should be a separate independent role due to possible conflicting objectives with other (V)SOC roles.;1;Assumption: (in a minimal law-complient VSOC) Detection Engineer's tasks can be take over by a threat intelligence analyst and Security Engineer.;;1;;;1;;3;;Assumption: (in a minimal law-complient VSOC) Threat Hunter's tasks can be take over by an incident responder role.;1;;1;;;1;;;1;;;3;"Assumption: There are lot's of overlapping tasks with incident responder role; so for a minimal law-complient VSOC incident responder can take over these responsibilities. However maybe management vs technial role is usefull!";1;;;1;;2;;1;However, their results can contribute to other roles like vulnerability and risk management or threat intelligence analyst.;;3;;"Assumption: Compared to Red Team Specialist; the validation method security audit is valuable independently of a SOC for any object within a cyberspace, but it is not specifically characteristic for a minimal-law complient (V)SOC. E.g. audits, pentests, red teaming sessions should be done regularly by external personal, but are not specific to an (V)SOC.";"The field for comments in ""additonal comment if needed"" are very small, not easily usable :D";2;;;1;;3;"Assumption: Not characterisic for a VSOC; however, general useful.";1;;2;;2;;2;;1;;;1;;2;;2;2;;2;;2;;1;;1;;1;;1;1;1;;2;;;2;;2;;1;;2;;1;1;;1;;1;;1;2;;1;;;1;2;;1;;1;;1;;;Question 29 is not clearly formulated: the statement is not consistent (also compared to the others), so I was not sure how to answer it.;1479;3499;1147;1512;;10/06/2024 14:58;1;0;3;3;31;3;0.14
27;;;base;interview;11/06/2024 13:53;3;"security analyst; researcher";8;3;;it should be present in a VSOC.;1;;1;;;1;;3;;there should be a person/team to perform detection engineering.;1;;;1;;3;;a threat hunter should be present.;1;;1;;;2;;;1;;;1;;1;;;1;;1;;1;;;1;;;;3;;it should be available to have an efficient VSOC;1;;1;;1;;3;it should be present, similar as the SIEM.;1;;1;;3;;it should be present.;1;;1;;1;1;;1;;1;;3;it should be present, even for vehicles.;1;;1;;1;1;3;it should be present based on the UNECE R155.;3;;it is required for an effective VSOC.;3;it should be available. Otherwise it's going to be very hard to resolve incidents and evaluate the impact.;1;;1;;1;;1;1;;1;;1;;1;3;it should scan the fulfillment of the regulations.;1;;;1;1;;3;there is a PKI used for vehicles at OEMs.;1;;1;;;;381;370;422;874;;11/06/2024 14:13;1;0;3;3;39;5;0.58
34;;;base;interview;11/06/2024 22:04;3;SOC Specialist;10;2;;;2;;2;;;2;;2;;;2;;;2;;2;;;2;;2;;;2;;;2;;;2;;2;;;2;;2;;2;;;2;;;;2;;;2;;2;;2;;2;;2;;1;;2;;;2;;2;;2;2;;2;;2;;2;;2;;2;;2;2;2;;2;;;2;;2;;2;;2;;2;2;;2;;2;;2;2;;2;;;2;2;;2;;2;;2;;;;80;91;74;245;;11/06/2024 22:08;1;0;3;3;29;23;2.34
42;;;base;interview;12/06/2024 03:54;2;Security Manager ,Analyst,Architect;2;2;;;1;;1;;;2;;3;;;1;;;1;;3;;;3;;1;;;3;;;1;;;1;;1;;;1;;1;;1;;;2;;;;1;;;1;;1;;1;;3;;3;;3;;2;;;2;;2;;2;1;;1;;1;;2;;2;;3;;3;1;1;;1;;;1;;1;;1;;1;;2;2;;1;;1;;1;2;;2;;;1;1;;1;;1;;1;;;;54;107;126;287;;12/06/2024 03:59;1;0;3;3;44;11;2.24
47;;;base;interview;12/06/2024 10:11;4;Sales Engineering Manager EMEA (pre-sales), Solution Architect, De-Escalation Manager;3;3;;mitigation requires SOC analysts;3;processes and workflows require steering by cross-organizational functions and are not on analyst level.;2;;;1;provide responses and conclutions;1;;;2;;;2;;1;threat hunting is part of an advanced vSOC;;1;Interface to Dev and SMEs;1;Ensure that certification criteria are met, including long-erm strategies, global regulations, advanced TARA. Create awareness and visibility, also for budgeting.;;1;very likely in a minimal vSOC an analyst will have the double-role as a soc manager;;1;strategies and certifications;;1;;3;;"Probably too much for this role; activities are likely split across other functions, e. g. CISO for cross-org functions and strategies, processes";1;probably part of the CISO role;1;Should be part of the dev teams but not of the vsoc;1;needed in advanced vSOC;;1;Separately includes consultancy, operations, etc. Then the indepency of audits is not given.;;There is typically no clear definition and separation of roles. Teaming always differs in organizations.;1;;;1;Regularly identify risks and threats on ECU or asset level;1;;3;typically not established in minimal vSOC;3;should be present in OEMs.;2;;3;is required by R155 for connected vehicles.;3;;is required by standard IT security, therefore to comply with global regulations.;3;standard technology required for further tools.;3;required technology in IT;2;3;too many individual definitions of IDS or IDPS. At least not sufficient as stand-alone, but required e. g. as onboard gateway level;1;Complex discussion because of data privacy;3;required by R155;3;this is standard technology;3;standard technology;3;standard technology, not sufficient;2;2;2;;1;part of advanced vSOCs;;3;this is a baseline for VM;3;this sounds rather like CSMS;3;is required by R155 and checked during audits;3;is required to document;2;3;the term VM is misleading, this rather sounds like CSMS;3;rather sounds like roles, not like capabilities that a softeware has;1;playbooks, org infos, ...;2;1;;1;Integrations with tooling landscape;;1;1;different variations and frameworks;3;required by R155;3;required by R155;1;a secure approach is required, different options;;"Spreadsheets ;)";83;3538;1268;1634;;12/06/2024 11:33;1;0;3;3;7;1;0.44
54;;;base;interview;13/06/2024 10:48;2;Senior Product Safety and Cybersecurity Engineer;5;3;;At present the role of VSOC analyst is not present, however the responsibilities of SOC analyst will need to be carried out for both continuous monitoring and event management.;1;;3;;the role and reposnisbilities of malware analyst with automotive industry is carried out by TARA analyst and Testing Team.;1;;1;The responsibilities of detection engineer is not clear from an automotive context.;;1;;;2;;2;;;1;;3;;"CISO or similar executive role are responsible for information management policies. Further cybersecurity policies and processes are usually written by cybersecurity process managers or engineers. Requirements are generated by TARA engineers; ";1;;;2;;;1;;1;but multiple roles are involved;;1;;1;;1;;;1;;;;1;;;1;;1;;1;;3;we may have other forms of data logs and manaement tools like the diagnostic testers;1;;1;;1;but firewalls are part of security control measures invehicles.;;2;;1;;1;1;;1;;1;;1;;1;;1;;1;1;1;;1;;;3;is part of TARA and continuous monitoring;1;;2;;1;;1;1;;1;;1;;1;1;;1;;;2;1;;3;PKI is neccesary for cryptography involving asymmetric cryptographic primitives;1;;1;;;;125;1517;557;2199;;13/06/2024 11:25;1;0;3;3;39;5;0.47
82;;;base;interview;01/07/2024 21:34;3;Automotive Security Operation Center Analyst;10;3;;it is essential.;3;That are too much activities for that role. It should focus on Threat Intelligence work only.;3;;Malware will be present in the automotive domain and therefore this role should exist.;1;;2;;;1;;;3;it is an important role. ;3;;Certain attacks happen only in the custom environment of an OEM and standard attacks or TI are not covering that attack vector.;1;;2;;;3;;Organising and managing a vsoc is key and therefore a soc manager is required.;1;;;1;;1;;;1;;1;;3;;A VSOC should be able to understand, implement and evaluate attacks and exploits. Hence I consider that role es essential.;1;;;;3;;Essential tool to handle events.;1;;3;These tools cover more than audits.;1;;3;log collections are required if not everything is put into the SIEM.;1;Not essential.;1;;3;;Essential.;2;;3;a large number of attacks happen over the network.;1;1;;1;;3;especially in repair shops and garages a lot of IT is utilized to enable vehicle operations.;3;Essential.;3;Emails are used everywhere.;2;;2;1;1;;3;;Essential to manage, process and document security incidents.;3;Asset Management is key.;3;Some is mandatory required by UNECE;2;;1;;2;3;that describes risk management ;1;;1;;1;2;;1;;;1;1;;3;Essential to manage Crypto Material and enable CIA.;3;Essential.;3;;Essential.;;44;1281;2015;1648;;01/07/2024 22:30;1;0;3;3;25;3;0.74
85;;;base;interview;02/07/2024 09:34;4;"Cybersecurtiy engineer; Cybersecurity consultant";2,5;3;;Threat Analysis is part of ISO 21434;1;;1;;;1;see R155;1;;;1;see ISo 21434;;3;see Iso 21434 Tool management;1;;;1;;1;;;2;;;1;;;1;;1;;;1;;3;;1;;;1;;;;2;;;1;;3;Pentests do not perform audits;2;;1;;2;;2;;2;;;2;;2;;2;2;;2;;2;;2;;2;;2;;2;1;1;;2;;;3;;1;;1;;1;;2;1;;1;;2;;1;2;;1;;;1;2;;2;;2;;2;;;;2545;710;357;1149;;02/07/2024 10:34;1;0;3;3;32;6;0.45
89;;;base;interview;05/07/2024 00:30;4;Chief Engineer - Cybersecurity;15;2;;;1;;1;;;1;;1;;;3;;this doesn't seem to be the role of a security engineer.;1;;1;;;1;;3;;for a VSOC the CPSO would be more suitable;3;;the VSOC would need appropriate management;3;;these requirements are not defined in the relevant regulations and could be covered by a SOC manager or CPSO or similar.;3;not  clear how this is different from incident responder;3;;this seems to be a lot of responsibilities for one role and might typically be done by a range of roles e.g. SOC analysts, cybersecurity engineers.;1;;1;;1;;;3;;"this role should be called ""auditor""";;1;it depends what is meant by SIEM;;1;but as with SIEM this term needs proper definition.;3;this would usually be part of a different function than the VSOC.different ;3;not clear what requirement it corresponds to;1;;1;;1;;1;;;1;;1;;1;1;;1;;1;;1;;1;;1;;1;1;1;;1;;;1;;1;;3;I think something like this would usually be present to manage incidents and vulnerabilities;1;;1;1;;1;;2;;2;1;;3;;an ISMS is not a tool, it is a set of processes;1;1;;2;;1;;1;;;;17;750;323;1090;;05/07/2024 00:48;1;0;3;3;37;4;1.46
92;;;base;interview;11/07/2024 21:23;2;VSOC Analyst;2;1;;;1;;1;;;1;;1;;;1;;;1;;1;;;1;;1;;;1;;;1;;;1;;1;;;1;;1;;1;;;1;;;;1;;;1;;1;;1;;1;;1;;1;;1;;;1;;1;;1;1;;1;;1;;1;;1;;1;;1;1;1;;1;;;1;;1;;1;;1;;1;2;;1;;1;;1;1;;1;;;1;1;;1;;1;;1;;;;39;25;53;117;;11/07/2024 21:25;1;0;3;3;50;10;2.7
